iterations,Err,RelErr,mu,lam,beta,sigma,mu0,lam0,beta0,sigma0,dEdm,dEdl,dEdb,dEds,success,h_pred,RelH,qd_pred,RelQd,q0_pred,RelQ0,Mass,RepliconNorm
0,0.040399077976340056,0.15342919084481108,0.7925977275628887,2.0524884446996027e-05,390.94554950402943,4.9202430905627965,0.7925977276080494,1.3273992655254106e-09,390.94554950402306,4.920243089705466,0.001003055966575537,0.1270401089880987,-2.2325179536243335e-05,-0.027051720056330053,1.0,0.0007665627233772058,0.22966798212548456,4.5869234420394965e-05,0.14231050074055795,5.92599091715546e-07,0.08830908966839068,0.5714874565165753,0.992052396218675
1,0.028982274759092923,0.11953262993562659,-0.4282746153331797,2.4378951192626504e-05,257.6288506329894,6.061044169987155,-0.4282746152374439,1.5829438435314694e-09,257.628850632961,6.061044168280563,-0.00012235039376973925,0.0019070783147109587,-8.659385778036574e-06,0.0030782779290592353,1.0,0.0007417284373717677,0.1898305031709968,5.467714155317411e-05,0.02238484579607536,5.548513484541251e-07,0.14638254083980762,0.4877693523073625,0.9925579130586254
2,1.4232092263603788,0.9996517138808535,0.3416772494646154,4.40573458099283e-09,2850.2232456411175,1.8222386671608282,0.3416772494646154,4.40573458099283e-09,2850.2232456411175,1.8222386671608282,4.8960835411740225e-05,-237102.15409196157,-4.662986016371078e-07,-0.000849853526055025,0.0,5.102429773618095e-07,0.9991815027874015,1.208416029710405e-08,0.9997740433751476,2.6293799245565166e-13,0.9999995954800116,0.9998856341344018,0.9999999959687024
3,0.05865910246966008,0.189667941087609,-0.5363842811354796,2.9283250535460268e-05,160.6083332241252,7.676454132210061,-0.5363842811273589,2.5813485535120678e-09,160.60833322411722,7.676454132118684,-0.0012334785908423276,0.04914378071151684,3.9006267248411225e-05,0.03262765633072709,1.0,0.0006952160624624849,0.11521850280319668,6.437010923997195e-05,0.2036295669403878,4.873987602124923e-07,0.2501557535192426,0.3953936164936258,0.9935711992167257
