,Err,RelErr,mu,lam,beta,sigma,mu0,lam0,beta0,sigma0,dEdm,dEdl,dEdb,dEds,success,h_pred,RelH,qd_pred,RelQd,q0_pred,RelQ0,Mass,RepliconNorm,mass,env,K,sigma_K,a,b,c_avg,c_std,sigma_cr_replicon,sigma_cr_mass,beta_cr_replicon,beta_cr_mass
184,0.08920679966233011,0.0717393233410468,0.3414493813652485,1.2049921451094196e-06,3060.652198952316,2.3992973817526093,0.3811275903955835,9.11061629648655e-06,3060.651759079481,1.7584812324512833,0.0009349205442524,9436.62968873943,-3.974605766737012e-05,-0.0713536518932544,1.0,0.0006718497551362,0.077735855782437,5.637926689963296e-05,0.054212170898148,5.958745368273388e-07,0.0832699433425556,0.0171504061911473,0.7064542229947538,0.017150406191147383,gutU,0.0032743,0.0270224,0.0036880618586494136,52.491428421860654,9.31937166805924,503.1569813426363,2.4808884218115477,2.4868678294064837,3106.881979421066,3288.1470322378505
185,0.08951195568715667,0.0718994027008366,0.948506012600126,1.2807898347543951e-06,3022.7372065911127,2.418239255208986,0.9606442095589935,1.0502584993590611e-06,3022.7372407702646,1.76947527463314,0.0006645312738888,9150.479906290446,-3.21867467057114e-05,-0.0523763383072509,1.0,0.0006728542030763,0.0793471231113116,5.633912175276368e-05,0.0534615137016394,5.961217786617869e-07,0.0828895712895587,0.0146528537081374,0.7076286553362513,0.014652853708137625,gutU,0.0032743,0.0270224,0.003871491087335793,44.291726086324154,7.968218636359691,496.92444619658517,2.501007953061548,2.5024159458178916,3067.4630925286133,3236.837193155998
186,0.09081403177995513,0.0720311693577358,-0.5692049625886879,1.1775488850001414e-06,3041.6717889517736,2.397730477050107,-0.6156251040117546,1.1395604789596332e-05,3041.672035464901,1.7639590723174947,0.0004663052906467,14263.927016008834,-2.7495137449284475e-05,-0.0456264744039412,0.0,0.0006774729319961,0.0867561751008914,5.600935091877904e-05,0.0472952677408196,5.966726575995272e-07,0.0820420652314966,0.0310034779361274,0.7260948283148767,0.031003477936127455,gutU,0.0032743,0.0270224,0.003581717223616546,94.30240419770763,11.13227831834832,500.0366912618325,2.4828415468115477,2.4946149446308357,3094.343863951774,3292.446011267568
187,0.08988737095118257,0.0721950843392976,0.4125118315467165,1.2343749176360391e-06,3034.8033778168824,2.4093112393001914,0.3553556143781933,1.736502209819147e-05,3034.8038136206687,1.7659539978633554,4.530559957358554e-05,13091.0051522702,-1.0052134959249943e-05,0.0003207560972449,0.0,0.0006739425844173,0.0810930307149173,5.6342659798516695e-05,0.0535276701293323,5.967230410871319e-07,0.0819645521736431,0.0179590681762801,0.7114584566609437,0.017959068176280124,gutU,0.0032743,0.0270224,0.0037460851695342873,54.5022407638186,9.093153168068456,498.9078657177285,2.4960251405615477,2.4974362736237277,3081.6901965668826,3260.870682162326
188,0.089501427784008,0.0725124436383763,0.1192227998275072,1.118684055857265e-06,3108.53331869926,2.381849555236668,0.1410143436063493,6.4368333803474736e-06,3108.533199163657,1.744885532752274,0.000926638107012,8701.488423149425,-3.077553423386696e-05,-0.0433802935448013,0.0,0.0006650228098455,0.0667845327090692,5.697950223021922e-05,0.0654357185904865,5.945438982498775e-07,0.0853170796155732,0.0056313036175779,0.6863534086289904,0.005631303617578132,gutU,0.0032743,0.0270224,0.003477466660729932,17.505094922953297,9.931807841572466,511.02787331918194,2.461945453061548,2.4676407377615144,3151.44367494926,3336.4969790964637
189,0.09294434834138222,0.0725292828743365,-0.281254822673477,1.2688813051153922e-06,2968.713170079709,2.426909137574332,-0.5778726300890435,2.4178800347278924e-05,2968.715894547883,1.7855021520275782,0.0002829403379746,14094.369258487375,-2.54972352933862e-05,-0.0425952858908682,0.0,0.000681979423736,0.0939851838111363,5.5712011630501546e-05,0.0417354455965135,5.967863075100163e-07,0.0818672192153596,0.0362889025479007,0.7403568170075454,0.036288902547900515,gutU,0.0032743,0.0270224,0.0037669446417639947,107.73134292169136,10.28988641155534,488.04339821905876,2.5197067811865477,2.525082517711129,3023.4265931265836,3213.751968261868
190,0.0930137517695475,0.0729637191352369,0.5972193109672087,1.355037801555006e-06,2932.5939284224733,2.4487432901317523,0.6331532815477499,7.756306522038347e-06,2932.5934798127632,1.7964650169988017,0.0003285954825047,11481.297943871412,-2.6999521710862893e-05,-0.0438342169047954,0.0,0.000681055174192,0.0925025653155362,5.58175574453328e-05,0.0437090023435451,5.962582666646909e-07,0.0826795897466293,0.0289422269406993,0.7365933425592719,0.028942226940699367,gutU,0.0032743,0.0270224,0.003973775629623147,84.8757990013203,8.409391092743585,482.10609204250625,2.5341110780615477,2.540584997047167,2983.6399268599735,3156.6968097253307
191,0.09393185984107628,0.0735221769558945,-0.2323923400541598,1.2867496958746224e-06,2940.885801382032,2.4385524957976754,-0.2249481210474246,6.72003744958593e-06,2940.885990866961,1.793930453873408,0.000231830700592,13429.718266851552,-2.2687994387541213e-05,-0.0343487924220661,0.0,0.0006820600765339,0.0941145615649634,5.5795886730727965e-05,0.0433037907765139,5.959536839579659e-07,0.0831481785262063,0.0346586040091065,0.742443762600585,0.034658604009106586,gutU,0.0032743,0.0270224,0.0037841839105303243,101.92699642610393,10.095489063384239,483.46895921289496,2.5277634218115477,2.537000859552952,2995.4830134914064,3183.1358273085734
192,0.0916484664015165,0.0737462589599597,-0.8823138527345459,1.1233067483573565e-06,3049.6444614236325,2.3937766033221672,-0.8481059092812473,8.975194396008146e-07,3049.644057507262,1.7616519960833588,-7.37139512389828e-05,16304.355389592882,-3.366960401478655e-06,0.0180275517832446,0.0,0.0006742470622092,0.0815814533586818,5.646641884743449e-05,0.0558417884711011,5.955199022174373e-07,0.0838155350500964,0.0236576999653306,0.7185534551687867,0.023657699965330625,gutU,0.0032743,0.0270224,0.0034256862036078023,72.1475736692926,11.799676796636815,501.3471954085246,2.489877484311548,2.4913519800566113,3100.961155954882,3303.3314604866277
193,0.09495010338275098,0.0741779925210328,-0.9874368259222144,1.2303194019833443e-06,2942.227032526282,2.431709382861348,-0.986049540879978,9.0178387116777e-07,2942.2269781846458,1.7935215948401106,0.0004078182215863,13961.444701770342,-2.786394356054954e-05,-0.0462218606478693,0.0,0.0006827731261669,0.0952583874732708,5.577607693010764e-05,0.0429333756564629,5.951775606183129e-07,0.0843422144333647,0.0399622796605511,0.7480136376185365,0.03996227966055088,gutU,0.0032743,0.0270224,0.003619879003156965,117.57809949864802,11.617369693396563,483.68923303207896,2.5319138124365477,2.536422540408604,3000.0766860419067,3201.076463995711
